		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101100100    1    0    2    3    3    1    1    4  6.482903 0.593305 SUCCESS  89
101101000    3    1    6    5    1    2    2    2 10.312456 0.243777 SUCCESS  90
101101100    2    3    0    4    3    1    2    0  7.330237 0.501457 SUCCESS  91
101110000    0    2    1    0    1    0    0    0 14.264475 0.075127 SUCCESS  92
101110100    3    5    5    2    3    3    2    6 11.600006 0.169963 SUCCESS  93
101111000    0    2    5    2    1    4    2    6 12.854458 0.116956 SUCCESS  94
101111100    1    1    1    3    1    1    2    2  4.599570 0.799391 SUCCESS  95
110000000    2    2    3    0    4    4    2    1  5.824233 0.666913 SUCCESS  96
110000010    2    2    2    4    2    2    3    4  2.623560 0.955720 SUCCESS  97
110000100    2    2    0    0    0    2    3    1  8.710465 0.367306 SUCCESS  98
110001000    3    5    0    2    2    0    1    3  9.087793 0.334944 SUCCESS  99
110001010    2    4    3    2    3    3    1    5  5.291339 0.726032 SUCCESS 100
110010000    2    2    3    2    4    4    6    4  8.932228 0.348045 SUCCESS 101
110010010    0    1    4    4    4    1    3    3  7.644677 0.468925 SUCCESS 102
110010100    1    5    5    0    2    4    5    4 13.953345 0.082990 SUCCESS 103
110011000    1    2    4    0    3    4    1    1  7.393125 0.494871 SUCCESS 104
110011010    1    1    1    5    2    2    0    3  8.177571 0.416320 SUCCESS 105
110100000    2    4    4    5    2    4    1    2  7.048895 0.531367 SUCCESS 106
110100010    6    4    3    2    2    2    1    1  8.554899 0.381222 SUCCESS 107
110100100    3    3    5    2    3    3    2    3  3.659559 0.886460 SUCCESS 108
110101000    1    0    2    1    3    1    1    0  8.647577 0.372892 SUCCESS 109
110101010    1    0    4    4    1    2    5    3  9.339345 0.314483 SUCCESS 110
110101100    1    0    1    1    3    0    4    2  8.836241 0.356298 SUCCESS 111
110110000    3    2    1    1    3    3    4    1  4.129564 0.845248 SUCCESS 112
110110010    2    2    2    4    1    0    2    2  4.788234 0.779952 SUCCESS 113
110110100    3    5    2    7    4    2    3    4 14.204897 0.076579 SUCCESS 114
110111000    0    2    3    1    1    2    2    1  5.446904 0.708915 SUCCESS 115
110111010    3    2    4    1    2    2    1    4  4.192453 0.839356 SUCCESS 116
110111100    1    3    3    3    3    2    4    7 11.411342 0.179463 SUCCESS 117
111000000    1    1    4    1    2    2    4    2  4.914011 0.766726 SUCCESS 118
111000010    1    2    1    1    2    1    3    4  4.788234 0.779952 SUCCESS 119
111000100    1    4    1    2    3    2    2    1  4.003788 0.856782 SUCCESS 120
111000110    0    2    4    2    1    3    5    2  7.581789 0.475349 SUCCESS 121
111001000    5    1    3    2    4    3    5    6 13.294675 0.102105 SUCCESS 122
111001010    1    3    6    1    3    3    3    5 10.501120 0.231599 SUCCESS 123
111001100    2    2    2    1    5    4    0    3  7.581789 0.475349 SUCCESS 124
111010000    6    5    3    2    4    7    1    1 20.073348 0.010062 SUCCESS 125
111010010    3    1    1    0    2    3    4    2  5.698457 0.680967 SUCCESS 126
111010100    2    0    3    2    3    0    1    0  8.773353 0.361775 SUCCESS 127
111010110    3    1    0    4    1    0    4    2  9.024905 0.340199 SUCCESS 128
111011000    4    1    2    3    3    3    2    2  2.560672 0.958842 SUCCESS 129
111011010    4    3    2    4    3    3    0    1  5.950009 0.652832 SUCCESS 130
111011100    0    3    0    3    1    3    3    3  6.545791 0.586333 SUCCESS 131
111100000    2    2    3    2    2    3    4    6  7.048895 0.531367 SUCCESS 132
111100010    1    6    1    3    1    2    1    7 17.938463 0.021693 SUCCESS 133
111100100    4    2    5    2    0    2    5    4 10.438232 0.235604 SUCCESS 134
111100110    1    1    1    3    1    2    0    2  6.231350 0.621335 SUCCESS 135
111101000   11    3    2    2    3    6    0    0 41.978259 0.000001 FAILURE 136
111101010    1    2    2    3    1    3    1    0  5.509792 0.701955 SUCCESS 137
111101100    2    1    0    1    4    1    3    4  7.393125 0.494871 SUCCESS 138
111101110    3    4    1    3    3    2    2    2  2.560672 0.958842 SUCCESS 139
111110000    3    1    0    2    0    2    4    5  9.998015 0.265165 SUCCESS 140
111110010    2    3    7    2    1    3    5    2 13.043122 0.110374 SUCCESS 141
111110100    7    2    0    1    2    7    2    1 22.175134 0.004602 FAILURE 142
111110110    3    3    0    4    2    2    1    2  4.914011 0.766726 SUCCESS 143
111111000    2    4    1    0    1    2    2    5  8.303347 0.404413 SUCCESS 144
111111010    4    2    0    2    5    3    4    2  7.770453 0.456208 SUCCESS 145
111111100    1    4    4    2    1    2    1    1  5.698457 0.680967 SUCCESS 146
