filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.02,8,0.016352504,0.996187364,0.739651416,0,0.955882353,0.617647059,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.02,9,0.017113762,0.993176179,0.715260546,0,0.985294118,0.625,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.02,10,0.018927747,0.996384671,0.752711497,0,0.992647059,0.661764706,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,2,1,0.366546563,0.206347007,0.055848115,0.044117647,0,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,3,0.024308818,1,0.860324729,0.00062448,1,0.779411765,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,4,0.024192477,0.999452804,0.84870041,0.000273598,0.992647059,0.742647059,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,5,0.017411868,1,0.913511636,0,1,0.845588235,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,6,0.016240593,1,0.908825978,0,1,0.838235294,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,7,0.017406237,0.999514091,0.882896016,0,0.992647059,0.794117647,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,8,0.016352504,0.999458288,0.876489707,0,0.992647059,0.779411765,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,9,0.017113762,0.999380805,0.86130031,0,0.992647059,0.794117647,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.03,10,0.018927747,0.99849737,0.881292261,0,0.985294118,0.801470588,0
,,,,,,,,,,
filename,times,threshold,segLen,maxDiffAB,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.1,2,1,0.417790132,0.24086171,0.055872133,0.051470588,0,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.1,3,0.024308818,0.998324607,0.983664921,0.005863874,0.970588235,0.838235294,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.1,4,0.024192477,0.999454297,0.999454297,0.000545703,0.992647059,0.977941176,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.1,5,0.017411868,1,1,0.000345185,1,1,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.1,6,0.016240593,1,1,0,1,1,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.1,7,0.017406237,0.998522895,0.993106844,0,0.977941176,0.955882353,0
../skyglow/Scenario2-Office-NLoS/data_NLOS.mat,136,0.1,8,0.016352504,0.998910082,0.988010899,0,0.985294118,0.933823529,0
