filename,times,segLen,correctBitRate,randomBitRate,noiseBitRate,correctWholeRate,randomWholeRate,noiseWholeRate
../data/data_static_indoor_1_r.mat,148,3,22549 / 22550 = 0.9999556541,18483 / 22550 = 0.8196452328,11129 / 22550 = 0.4935254989,147 / 148 = 0.9932432432,9 / 148 = 0.0608108108,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,4,5242 / 5246 = 0.9992375143,4252 / 5246 = 0.8105223027,2507 / 5246 = 0.4778879146,147 / 148 = 0.9932432432,26 / 148 = 0.1756756757,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,5,8190 / 8190 = 1.0,6521 / 8190 = 0.7962148962,3907 / 8190 = 0.477045177,148 / 148 = 1.0,23 / 148 = 0.1554054054,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,6,8360 / 8378 = 0.9978515159,6725 / 8378 = 0.8026975412,4011 / 8378 = 0.4787538792,147 / 148 = 0.9932432432,16 / 148 = 0.1081081081,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,7,7710 / 7710 = 1.0,6459 / 7710 = 0.8377431907,3718 / 7710 = 0.482230869,148 / 148 = 1.0,22 / 148 = 0.1486486486,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,8,1906 / 1906 = 1.0,1621 / 1906 = 0.8504721931,903 / 1906 = 0.4737670514,148 / 148 = 1.0,62 / 148 = 0.4189189189,2 / 148 = 0.0135135135
../data/data_static_indoor_1_r.mat,148,9,2296 / 2296 = 1.0,1957 / 2296 = 0.8523519164,1130 / 2296 = 0.4921602787,148 / 148 = 1.0,59 / 148 = 0.3986486486,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,10,2932 / 2932 = 1.0,2437 / 2932 = 0.8311732606,1443 / 2932 = 0.4921555252,148 / 148 = 1.0,53 / 148 = 0.3581081081,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,11,2715 / 2716 = 0.9996318115,2417 / 2716 = 0.8899116348,1330 / 2716 = 0.4896907216,147 / 148 = 0.9932432432,52 / 148 = 0.3513513514,1 / 148 = 0.0067567568
../data/data_static_indoor_1_r.mat,148,12,2776 / 2776 = 1.0,2334 / 2776 = 0.840778098,1402 / 2776 = 0.5050432277,148 / 148 = 1.0,52 / 148 = 0.3513513514,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,13,2398 / 2398 = 1.0,2037 / 2398 = 0.8494578816,1175 / 2398 = 0.4899916597,148 / 148 = 1.0,50 / 148 = 0.3378378378,2 / 148 = 0.0135135135
../data/data_static_indoor_1_r.mat,148,14,2452 / 2452 = 1.0,2069 / 2452 = 0.8438009788,1238 / 2452 = 0.5048939641,148 / 148 = 1.0,47 / 148 = 0.3175675676,6 / 148 = 0.0405405405
../data/data_static_indoor_1_r.mat,148,15,608 / 608 = 1.0,488 / 608 = 0.8026315789,291 / 608 = 0.4786184211,148 / 148 = 1.0,97 / 148 = 0.6554054054,15 / 148 = 0.1013513514
# (4),,,,,,,,
../data/data_static_indoor_1_r.mat,148,1,53320 / 53670 = 0.9934786659,28466 / 53670 = 0.5303894168,28313 / 53670 = 0.5275386622,91 / 148 = 0.6148648649,0 / 148 = 0.0,0 / 148 = 0.0
../data/data_static_indoor_1_r.mat,148,2,19655 / 19914 = 0.9869940745,10918 / 19914 = 0.5482575073,10628 / 19914 = 0.533694888,121 / 148 = 0.8175675676,0 / 148 = 0.0,0 / 148 = 0.0
