		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000101001    1    1    1    1    2    3    5    1  7.330237 0.501457 SUCCESS  19
000101011    3    2    3    4    6    3    1    3  7.959118 0.437474 SUCCESS  20
000101101    2    0    2    2    3    4    4    2  5.039787 0.753315 SUCCESS  21
000101111    1    2    4    2    5    3    2    1  5.950009 0.652832 SUCCESS  22
000110011    2    3    2    3    1    5    3    6  9.653786 0.290171 SUCCESS  23
000110101    2    3    1    3    2    2    1    2  2.309120 0.970039 SUCCESS  24
000110111    1    0    2    0    1    2    0    2  9.432023 0.307171 SUCCESS  25
000111001    1    2    3    3    1    3    0    0  7.204461 0.514742 SUCCESS  26
000111011    1    3    2    2    2    1    5    2  4.976899 0.760042 SUCCESS  27
000111101    5    2    2    4    3    1    2    2  5.165563 0.739743 SUCCESS  28
000111111    2    6    3    4    0    2    0    2 11.818460 0.159489 SUCCESS  29
001000011    1    1    1    2    3    2    1    7 12.602906 0.126262 SUCCESS  30
001000101    2    6    3    1    3    5    5    2 12.321564 0.137423 SUCCESS  31
001000111    2    2    2    5    3    2    2    3  3.470895 0.901437 SUCCESS  32
001001011    1    0    3    1    2    1    1    2  6.231350 0.621335 SUCCESS  33
001001101    4    1    2    1    1    2    0    3  6.420015 0.600293 SUCCESS  34
001001111    2    3    3    1    3    4    3    3  2.686448 0.952469 SUCCESS  35
001010011    4    0    1    1    0    3    4    1  9.809351 0.278663 SUCCESS  36
001010101    4    2    0    1    3    2    2    1  5.635568 0.687978 SUCCESS  37
001010111    4    3    2    1    3    4    2    2  3.470895 0.901437 SUCCESS  38
001011011    2    2    2    1    2    4    3    3  2.497784 0.961834 SUCCESS  39
001011101    5    0    3    2    2    2    2    2  5.824233 0.666913 SUCCESS  40
001011111    1    5    4    2    2    4    6    2 11.411342 0.179463 SUCCESS  41
001100101    4    3    2    4    1    4    6    1 10.501120 0.231599 SUCCESS  42
001100111    3    1    3    1    2    5    1    4  6.797343 0.558648 SUCCESS  43
001101011    3    4    1    3    2    1    4    2  4.255341 0.833382 SUCCESS  44
001101101    2    2    2    3    3    4    0    3  4.192453 0.839356 SUCCESS  45
001101111    0    3    2    0    1    1    1    3  7.926019 0.440730 SUCCESS  46
