		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110101000    0    2    0    1    1    1    1    0  4.369506 0.822342 SUCCESS 109
110101010    0    0    1    1    2    3    2    2  6.868480 0.550887 SUCCESS 110
110101100    0    2    0    2    2    3    0    0  9.258227 0.320983 SUCCESS 111
110110000    0    1    1    2    2    3    1    2  5.673606 0.683739 SUCCESS 112
110110010    3    3    0    1    0    0    0    1 10.453101 0.234652 SUCCESS 113
110110100    2    2    2    1    2    1    1    0  3.479143 0.900802 SUCCESS 114
110111000    0    2    3    2    0    0    3    2 10.757611 0.215815 SUCCESS 115
110111010    1    2    1    1    1    0    2    1  2.479554 0.962678 SUCCESS 116
110111100    2    1    1    1    2    2    1    1  1.784475 0.986921 SUCCESS 117
111000000    1    2    1    1    2    3    1    0  5.173812 0.738848 SUCCESS 118
111000010    0    3    1    0    2    1    1    2  6.368685 0.606007 SUCCESS 119
111000100    1    2    2    0    1    0    2    0  5.369096 0.717496 SUCCESS 120
111000110    2    2    0    3    1    1    1    1  5.173812 0.738848 SUCCESS 121
111001000    1    0    2    2    0    1    1    3  6.368685 0.606007 SUCCESS 122
111001010    2    1    0    0    2    2    1    3  6.868480 0.550887 SUCCESS 123
111001100    0    0    2    0    2    1    2    1  5.369096 0.717496 SUCCESS 124
111010000    1    1    1    1    1    1    1    0  1.479964 0.993036 SUCCESS 125
111010010    1    1    0    2    0    1    1    0  4.369506 0.822342 SUCCESS 126
111010100    0    1    0    1    2    1    1    2  3.674427 0.885239 SUCCESS 127
111010110    0    1    0    2    4    1    1    1  9.758022 0.282422 SUCCESS 128
111011000    0    1    1    2    0    3    0    2  7.563559 0.477220 SUCCESS 129
111011010    2    2    1    1    1    2    2    1  2.284270 0.971033 SUCCESS 130
111011100    0    1    3    0    0    0    1    0  8.953716 0.346215 SUCCESS 131
111100000    1    2    1    1    4    1    0    0  9.758022 0.282422 SUCCESS 132
111100010    4    1    4    1    1    0    4    0 22.425005 0.004186 FAILURE 133
111100100    1    0    2    2    0    1    0    2  5.369096 0.717496 SUCCESS 134
111100110    1    0    1    0    2    1    1    0  4.369506 0.822342 SUCCESS 135
111101000    0    2    2    0    2    0    0    1  6.563969 0.584321 SUCCESS 136
111101010    0    0    1    0    0    2    2    4 12.647564 0.124565 SUCCESS 137
111101100    1    1    0    3    0    1    0    1  6.563969 0.584321 SUCCESS 138
111101110    0    1    0    0    0    0    1    0  7.454332 0.488498 SUCCESS 139
