		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    3    2    4    4    1    3    3  4.318229 0.827331 SUCCESS   0
000000011    3    4    2    4    2    5    2    2  5.354227 0.719131 SUCCESS   1
000000101    0    4    3    2    3    1    5    2  7.644677 0.468925 SUCCESS   2
000000111    3    4    1    9    3    4    3    2 21.768016 0.005364 FAILURE   3
000001001    4    1    3    1    3    3    7    3 12.195788 0.142680 SUCCESS   4
000001011    1    2    3    4    3    1    4    1  5.039787 0.753315 SUCCESS   5
000001101    1    4    4    2    1    2    1    3  4.976899 0.760042 SUCCESS   6
000001111    4    2    2    6    1    5    3    0 12.917346 0.114725 SUCCESS   7
000010001    4    5    1    6    4    0    3    2 13.890457 0.084666 SUCCESS   8
000010011    4    0    4    2    2    2    6    6 15.648013 0.047704 SUCCESS   9
000010101    0    4    2    1    3    4    4    2  6.797343 0.558648 SUCCESS  10
000010111    1    2    1    1    6    0    4    2 11.692684 0.165451 SUCCESS  11
000011001    1    2    1    2    3    2    6    1  8.366235 0.398537 SUCCESS  12
000011011    1    2    2    2    1    2    1    3  3.030678 0.932418 SUCCESS  13
000011101    2    3    3    3    1    2    0    2  4.003788 0.856782 SUCCESS  14
000011111    2    0    0    5    1    2    2    0 11.378243 0.181174 SUCCESS  15
000100011    3    4    1    4    6    1    2    3  9.590898 0.294921 SUCCESS  16
000100101    3    4    2    6    3    3    3    3  7.237560 0.511232 SUCCESS  17
000100111    4    2    2    3    2    3    4    4  3.659559 0.886460 SUCCESS  18
000101001    2    1    2    1    3    1    4    3  4.066676 0.851058 SUCCESS  19
000101011    1    3    4    1    4    4    4    1  6.923119 0.544950 SUCCESS  20
000101101    1    1    3    3    0    2    2    5  7.456013 0.488323 SUCCESS  21
000101111    3    0    3    0    6    0    4    1 15.082020 0.057570 SUCCESS  22
000110011    4    1    1    2    3    2    8    3 16.369571 0.037386 SUCCESS  23
000110101    2    1    1    3    0    2    2    6  9.998015 0.265165 SUCCESS  24
000110111    2    3    6    2    6    4    2    2 12.321564 0.137423 SUCCESS  25
000111001    1    5    2    3    3    1    2    4  6.012897 0.645787 SUCCESS  26
